    Freq      Node         Xundef          Yundef          Zundef            Xdef            Ydef            Zdef           Xdisp           Ydisp           Zdisp
 7.64560      1.0      2.15000000      0.05907000     -0.15000000      2.15011012      0.06474334     -0.14895181      0.00011012      0.00567334      0.00104819
 7.64560      2.0      2.15000000      0.04922100     -0.13868000      2.15008073      0.05466569     -0.13783085      0.00008073      0.00544469      0.00084915
 7.64560      3.0      2.15000000      0.04016600     -0.12672000      2.15005428      0.04536908     -0.12605377      0.00005428      0.00520308      0.00066623
 7.64560      4.0      2.15000000      0.03194800     -0.11417000      2.15003085      0.03689945     -0.11366854      0.00003085      0.00495145      0.00050146
 7.64560      5.0      2.15000000      0.02460400     -0.10109000      2.15001045      0.02929947     -0.10073220      0.00001045      0.00469547      0.00035780
 7.64560      6.0      2.15000000      0.01816800     -0.08753900      2.15000698      0.02261132     -0.08730085      0.00000698      0.00444332      0.00023815
 7.64560      7.0      2.15000000      0.01267100     -0.07358000      2.15002152      0.01687579     -0.07343561      0.00002152      0.00420479      0.00014439
 7.64560      8.0      2.15000000      0.00813840     -0.05927900      2.15003325      0.01212893     -0.05920225      0.00003325      0.00399053      0.00007675
 7.64560      9.0      2.15000000      0.00459070     -0.04470300      2.15004226      0.00840160     -0.04466946      0.00004226      0.00381090      0.00003354
 7.64560     10.0      2.15000000      0.00204460     -0.02991900      2.15004864      0.00571979     -0.02990758      0.00004864      0.00367519      0.00001142
 7.64560     11.0      2.15000000      0.00051198     -0.01499500      2.15005244      0.00410263     -0.01498952      0.00005244      0.00359065      0.00000548
 7.64560     12.0      2.15000000      0.00000000     -0.00000185      2.15005370      0.00356194      0.00000314      0.00005370      0.00356194      0.00000499
 7.64560     13.0      2.15000000      0.00051102      0.01499100      2.15005244      0.00410167      0.01499645      0.00005244      0.00359065      0.00000545
 7.64560     14.0      2.15000000      0.00204270      0.02991500      2.15004864      0.00571789      0.02992623      0.00004864      0.00367519      0.00001123
 7.64560     15.0      2.15000000      0.00458780      0.04470000      2.15004226      0.00839871      0.04473331      0.00004226      0.00381091      0.00003331
 7.64560     16.0      2.15000000      0.00813460      0.05927600      2.15003325      0.01212513      0.05935250      0.00003325      0.00399053      0.00007650
 7.64560     17.0      2.15000000      0.01266700      0.07357700      2.15002152      0.01687180      0.07372113      0.00002152      0.00420480      0.00014413
 7.64560     18.0      2.15000000      0.01816300      0.08753600      2.15000698      0.02260633      0.08777387      0.00000698      0.00444333      0.00023787
 7.64560     19.0      2.15000000      0.02459700      0.10109000      2.15001045      0.02929250      0.10144751      0.00001045      0.00469550      0.00035751
 7.64560     20.0      2.15000000      0.03194100      0.11417000      2.15003085      0.03689248      0.11467115      0.00003085      0.00495148      0.00050115
 7.64560     21.0      2.15000000      0.04015800      0.12672000      2.15005428      0.04536113      0.12738590      0.00005428      0.00520313      0.00066590
 7.64560     22.0      2.15000000      0.04921200      0.13868000      2.15008073      0.05465675      0.13952880      0.00008073      0.00544475      0.00084880
 7.64560     23.0      2.15000000      0.05906100      0.15000000      2.15011012      0.06473440      0.15104783      0.00011012      0.00567340      0.00104783
 7.64560     24.0      2.13500000      0.05907000     -0.15000000      2.13511013      0.06469186     -0.14895757      0.00011013      0.00562186      0.00104243
 7.64560     25.0      2.13500000      0.04922100     -0.13868000      2.13508072      0.05461458     -0.13783631      0.00008072      0.00539358      0.00084369
 7.64560     26.0      2.13500000      0.04016600     -0.12672000      2.13505427      0.04531893     -0.12605853      0.00005427      0.00515293      0.00066147
 7.64560     27.0      2.13500000      0.03194800     -0.11417000      2.13503085      0.03685107     -0.11367221      0.00003085      0.00490307      0.00049779
 7.64560     28.0      2.13500000      0.02460400     -0.10109000      2.13501044      0.02925358     -0.10073458      0.00001044      0.00464958      0.00035542
 7.64560     29.0      2.13500000      0.01816800     -0.08753900      2.13500699      0.02256835     -0.08730202      0.00000699      0.00440035      0.00023698
 7.64560     30.0      2.13500000      0.01267100     -0.07358000      2.13502153      0.01683591     -0.07343580      0.00002153      0.00416491      0.00014420
 7.64560     31.0      2.13500000      0.00813840     -0.05927900      2.13503326      0.01209199     -0.05920181      0.00003326      0.00395359      0.00007719
 7.64560     32.0      2.13500000      0.00459070     -0.04470300      2.13504227      0.00836724     -0.04466876      0.00004227      0.00377654      0.00003424
 7.64560     33.0      2.13500000      0.00204460     -0.02991900      2.13504865      0.00568741     -0.02990706      0.00004865      0.00364281      0.00001194
 7.64560     34.0      2.13500000      0.00051198     -0.01499500      2.13505245      0.00407151     -0.01498953      0.00005245      0.00355953      0.00000547
 7.64560     35.0      2.13500000      0.00000000     -0.00000185      2.13505371      0.00353125      0.00000305      0.00005371      0.00353125      0.00000490
 7.64560     36.0      2.13500000      0.00051102      0.01499100      2.13505245      0.00407055      0.01499643      0.00005245      0.00355953      0.00000543
 7.64560     37.0      2.13500000      0.00204270      0.02991500      2.13504865      0.00568551      0.02992675      0.00004865      0.00364281      0.00001175
 7.64560     38.0      2.13500000      0.00458780      0.04470000      2.13504227      0.00836435      0.04473400      0.00004227      0.00377655      0.00003400
 7.64560     39.0      2.13500000      0.00813460      0.05927600      2.13503326      0.01208820      0.05935295      0.00003326      0.00395360      0.00007695
 7.64560     40.0      2.13500000      0.01266700      0.07357700      2.13502153      0.01683192      0.07372094      0.00002153      0.00416492      0.00014394
 7.64560     41.0      2.13500000      0.01816300      0.08753600      2.13500699      0.02256337      0.08777270      0.00000699      0.00440037      0.00023670
 7.64560     42.0      2.13500000      0.02459700      0.10109000      2.13501044      0.02924661      0.10144512      0.00001044      0.00464961      0.00035512
 7.64560     43.0      2.13500000      0.03194100      0.11417000      2.13503085      0.03684411      0.11466748      0.00003085      0.00490311      0.00049748
 7.64560     44.0      2.13500000      0.04015800      0.12672000      2.13505427      0.04531098      0.12738114      0.00005427      0.00515298      0.00066114
 7.64560     45.0      2.13500000      0.04921200      0.13868000      2.13508072      0.05460563      0.13952335      0.00008072      0.00539363      0.00084335
 7.64560     46.0      2.13500000      0.05906100      0.15000000      2.13511013      0.06468292      0.15104207      0.00011013      0.00562192      0.00104207
 7.64560     47.0      2.11990000      0.05907000     -0.15000000      2.12001014      0.06463982     -0.14896381      0.00011014      0.00556982      0.00103619
 7.64560     48.0      2.11990000      0.04922100     -0.13868000      2.11998072      0.05456309     -0.13784206      0.00008072      0.00534209      0.00083794
 7.64560     49.0      2.11990000      0.04016600     -0.12672000      2.11995427      0.04526825     -0.12606368      0.00005427      0.00510225      0.00065632
 7.64560     50.0      2.11990000      0.03194800     -0.11417000      2.11993085      0.03680160     -0.11367655      0.00003085      0.00485360      0.00049345
 7.64560     51.0      2.11990000      0.02460400     -0.10109000      2.11991045      0.02920574     -0.10073800      0.00001045      0.00460174      0.00035200
 7.64560     52.0      2.11990000      0.01816800     -0.08753900      2.11990698      0.02252236     -0.08730451      0.00000698      0.00435436      0.00023449
 7.64560     53.0      2.11990000      0.01267100     -0.07358000      2.11992152      0.01679183     -0.07343749      0.00002152      0.00412083      0.00014251
 7.64560     54.0      2.11990000      0.00813840     -0.05927900      2.11993325      0.01204969     -0.05920286      0.00003325      0.00391129      0.00007614
 7.64560     55.0      2.11990000      0.00459070     -0.04470300      2.11994226      0.00832646     -0.04466937      0.00004226      0.00373576      0.00003363
 7.64560     56.0      2.11990000      0.00204460     -0.02991900      2.11994863      0.00564779     -0.02990736      0.00004863      0.00360319      0.00001164
 7.64560     57.0      2.11990000      0.00051198     -0.01499500      2.11995243      0.00403262     -0.01498964      0.00005243      0.00352064      0.00000536
 7.64560     58.0      2.11990000      0.00000000     -0.00000185      2.11995369      0.00349261      0.00000297      0.00005369      0.00349261      0.00000482
 7.64560     59.0      2.11990000      0.00051102      0.01499100      2.11995243      0.00403166      0.01499632      0.00005243      0.00352064      0.00000532
 7.64560     60.0      2.11990000      0.00204270      0.02991500      2.11994863      0.00564589      0.02992645      0.00004863      0.00360319      0.00001145
 7.64560     61.0      2.11990000      0.00458780      0.04470000      2.11994226      0.00832356      0.04473340      0.00004226      0.00373576      0.00003340
 7.64560     62.0      2.11990000      0.00813460      0.05927600      2.11993325      0.01204590      0.05935189      0.00003325      0.00391130      0.00007589
 7.64560     63.0      2.11990000      0.01266700      0.07357700      2.11992152      0.01678784      0.07371925      0.00002152      0.00412084      0.00014225
 7.64560     64.0      2.11990000      0.01816300      0.08753600      2.11990698      0.02251738      0.08777021      0.00000698      0.00435438      0.00023421
 7.64560     65.0      2.11990000      0.02459700      0.10109000      2.11991045      0.02919877      0.10144171      0.00001045      0.00460177      0.00035171
 7.64560     66.0      2.11990000      0.03194100      0.11417000      2.11993085      0.03679464      0.11466314      0.00003085      0.00485364      0.00049314
 7.64560     67.0      2.11990000      0.04015800      0.12672000      2.11995427      0.04526029      0.12737600      0.00005427      0.00510229      0.00065600
 7.64560     68.0      2.11990000      0.04921200      0.13868000      2.11998072      0.05455414      0.13951760      0.00008072      0.00534214      0.00083760
