    Node          RMS_X          RMS_Y          RMS_Z           Xdef           Ydef           Zdef
     1.0   0.0000331046   0.0030613000   0.0013242685   2.1500331046   0.0621313000  -0.1486757315
     2.0   0.0000231816   0.0028581767   0.0011433215   2.1500231816   0.0520791767  -0.1375366785
     3.0   0.0000152871   0.0026436922   0.0009767456   2.1500152871   0.0428096922  -0.1257432544
     4.0   0.0000098599   0.0024188331   0.0008251037   2.1500098599   0.0343668331  -0.1133448963
     5.0   0.0000077032   0.0021857553   0.0006894087   2.1500077032   0.0267897553  -0.1004005913
     6.0   0.0000084423   0.0019479162   0.0005707740   2.1500084423   0.0201159162  -0.0869682260
     7.0   0.0000100875   0.0017101875   0.0004700765   2.1500100875   0.0143811875  -0.0731099235
     8.0   0.0000115464   0.0014793636   0.0003878165   2.1500115464   0.0096177636  -0.0588911835
     9.0   0.0000125767   0.0012654267   0.0003241394   2.1500125767   0.0058561267  -0.0443788606
    10.0   0.0000132091   0.0010837197   0.0002789340   2.1500132091   0.0031283197  -0.0296400660
    11.0   0.0000135359   0.0009568136   0.0002519629   2.1500135359   0.0014687936  -0.0147430371
    12.0   0.0000136350   0.0009103383   0.0002429984   2.1500136350   0.0009103384   0.0002411477
    13.0   0.0000135359   0.0009568180   0.0002519461   2.1500135359   0.0014678380   0.0152429461
    14.0   0.0000132091   0.0010837284   0.0002788999   2.1500132091   0.0031264284   0.0301938999
    15.0   0.0000125767   0.0012654401   0.0003240873   2.1500125767   0.0058532401   0.0450240873
    16.0   0.0000115464   0.0014793817   0.0003877461   2.1500115464   0.0096139817   0.0596637461
    17.0   0.0000100876   0.0017102109   0.0004699875   2.1500100876   0.0143772109   0.0740469875
    18.0   0.0000084423   0.0019479480   0.0005706668   2.1500084423   0.0201109480   0.0881066668
    19.0   0.0000077032   0.0021857946   0.0006892834   2.1500077032   0.0267827946   0.1017792834
    20.0   0.0000098599   0.0024188823   0.0008249623   2.1500098599   0.0343598823   0.1149949623
    21.0   0.0000152871   0.0026437502   0.0009765881   2.1500152871   0.0428017502   0.1276965881
    22.0   0.0000231816   0.0028582456   0.0011431496   2.1500231816   0.0520702456   0.1398231496
    23.0   0.0000331046   0.0030613792   0.0013240823   2.1500331046   0.0621223792   0.1513240823
    24.0   0.0000331066   0.0030353056   0.0013146405   2.1350331066   0.0621053056  -0.1486853595
    25.0   0.0000231805   0.0028324834   0.0011339580   2.1350231805   0.0520534834  -0.1375460420
    26.0   0.0000152862   0.0026187241   0.0009679360   2.1350152862   0.0427847241  -0.1257520640
    27.0   0.0000098594   0.0023951779   0.0008171641   2.1350098594   0.0343431779  -0.1133528359
    28.0   0.0000077028   0.0021639552   0.0006825282   2.1350077028   0.0267679552  -0.1004074718
    29.0   0.0000084423   0.0019283543   0.0005649783   2.1350084423   0.0200963543  -0.0869740217
    30.0   0.0000100882   0.0016930653   0.0004652714   2.1350100882   0.0143640653  -0.0731147286
    31.0   0.0000115477   0.0014647239   0.0003838474   2.1350115477   0.0096031239  -0.0588951526
    32.0   0.0000125787   0.0012531525   0.0003208264   2.1350125787   0.0058438525  -0.0443821736
    33.0   0.0000132116   0.0010734986   0.0002760926   2.1350132116   0.0031180986  -0.0296429074
    34.0   0.0000135387   0.0009480595   0.0002494065   2.1350135387   0.0014600395  -0.0147455935
    35.0   0.0000136379   0.0009021301   0.0002405376   2.1350136379   0.0009021302   0.0002386867
    36.0   0.0000135387   0.0009480638   0.0002493898   2.1350135387   0.0014590838   0.0152403898
    37.0   0.0000132116   0.0010735074   0.0002760589   2.1350132116   0.0031162074   0.0301910589
    38.0   0.0000125787   0.0012531656   0.0003207749   2.1350125787   0.0058409656   0.0450207749
    39.0   0.0000115477   0.0014647426   0.0003837777   2.1350115477   0.0095993426   0.0596597777
    40.0   0.0000100882   0.0016930893   0.0004651837   2.1350100882   0.0143600893   0.0740421837
    41.0   0.0000084423   0.0019283853   0.0005648725   2.1350084423   0.0200913853   0.0881008725
    42.0   0.0000077028   0.0021639938   0.0006824051   2.1350077028   0.0267609938   0.1017724051
    43.0   0.0000098594   0.0023952252   0.0008170240   2.1350098594   0.0343362252   0.1149870240
    44.0   0.0000152862   0.0026187822   0.0009677801   2.1350152862   0.0427767822   0.1276877801
    45.0   0.0000231805   0.0028325515   0.0011337872   2.1350231805   0.0520445515   0.1398137872
    46.0   0.0000331066   0.0030353854   0.0013144555   2.1350331066   0.0620963854   0.1513144555
    47.0   0.0000331141   0.0030089460   0.0013046951   2.1199331141   0.0620789460  -0.1486953049
    48.0   0.0000231784   0.0028066818   0.0011245163   2.1199231784   0.0520276818  -0.1375554837
    49.0   0.0000152858   0.0025937756   0.0009591707   2.1199152858   0.0427597756  -0.1257608293
    50.0   0.0000098602   0.0023715292   0.0008092977   2.1199098602   0.0343195292  -0.1133607023
    51.0   0.0000077033   0.0021420498   0.0006757079   2.1199077033   0.0267460498  -0.1004142921
    52.0   0.0000084418   0.0019085046   0.0005592203   2.1199084418   0.0200765046  -0.0869797797
    53.0   0.0000100867   0.0016754285   0.0004604902   2.1199100867   0.0143464285  -0.0731195098
    54.0   0.0000115453   0.0014493034   0.0003798956   2.1199115453   0.0095877034  -0.0588991044
    55.0   0.0000125756   0.0012398022   0.0003175279   2.1199125756   0.0058305022  -0.0443854721
